id,title,overview,release_date,popularity,vote_average,vote_count,genre_ids,genres
22881,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",2009-11-20,7.0241,7.673,6668,[18],Drama
10045,District B13,"Set in the ghettos of Paris in 2010, an undercover cop and ex-thug try to infiltrate a gang in order to defuse a neutron bomb.",2004-11-09,7.0489,6.803,1932,"[28, 53, 878]",Action|Thriller|Science Fiction
8984,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",1994-12-09,6.7319,6.251,1235,"[53, 18, 80]",Thriller|Drama|Crime
399566,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",2021-03-24,7.4856,7.553,10414,"[28, 878, 12]",Action|Science Fiction|Adventure
14239,Cool World,"A bizarre accident lands Frank Harris in Cool World, a realm of cartoons. Years later, cartoonist Jack Deebs, who's been drawing Cool World, crosses over as well. He sets his lustful sights on animated femme fatale Holli Would, but she's got plans of her own to become real, and it's up to Frank to stop her.",1992-07-10,7.3257,5.632,779,"[16, 35, 14]",Animation|Comedy|Fantasy
9602,Coming to America,"An African prince decides it’s time for him to find a princess... and his mission leads him and his most loyal friend to Queens, New York. In disguise as an impoverished immigrant, the pampered prince quickly finds himself a new job, new friends, new digs, new enemies and lots of trouble.",1988-06-29,8.2542,6.879,4605,"[35, 10749]",Comedy|Romance
27579,The American,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.",2010-08-31,6.1606,5.969,1448,"[80, 18, 53]",Crime|Drama|Thriller
1281,Bean,"Childlike Englishman, Mr. Bean, is an incompetent watchman at the Royal National Gallery. After the museum's board of directors' attempt to have him fired is blocked by the chairman, who has taken a liking to Bean, they send him to Los Angeles to act as their ambassador for the unveiling of a historic painting to humiliate him. Fooled, Mr. Bean must now successfully unveil the painting or risk his and a hapless Los Angeles curator's termination.",1997-07-03,6.4634,6.466,2518,"[10751, 12, 35]",Family|Adventure|Comedy
10555,Shark Tale,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",2004-09-20,7.5382,6.028,6558,"[16, 28, 35, 10751]",Animation|Action|Comedy|Family
21427,The Valet,"Caught by tabloid paparazzi with his mistress Elena, a famous and beautiful fashion model, billionaire Pierre Levasseur tries to avoid a divorce by inventing a preposterous lie. He uses the presence of a passerby in the photo to claim to his wife that it's not him Elena is seeing but the other man, one François Pignon. Pignon is a modest little man who works as a parking valet. To make the story convincing, Elena has to move in with Pignon.",2006-03-29,7.4447,5.964,546,[35],Comedy
699,For Your Eyes Only,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,1981-06-24,7.7719,6.544,1987,"[12, 28, 53]",Adventure|Action|Thriller
290595,The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",2016-04-06,7.7394,6.3,4950,"[28, 12, 18]",Action|Adventure|Drama
1116490,Cash Out,"Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life.",2024-04-26,7.6218,6.227,227,"[28, 53]",Action|Thriller
26593,Rio Lobo,"After the Civil War, a former Union colonel searches for the two traitors whose perfidy led to the loss of a close friend.",1970-04-01,5.8239,6.455,277,[37],Western
23631,Machete,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",2010-09-01,7.3849,6.336,3456,"[28, 35, 53]",Action|Comedy|Thriller
14262,Desperate Living,"After killing her husband, Peggy Gravel and her murderous maid Grizelda wind up in the crazy town of Mortville, where Queen Carlotta presides over a sleazy collection of misfits.",1977-05-27,7.0359,6.408,114,"[35, 80]",Comedy|Crime
921,Cinderella Man,"The true story of boxer Jim Braddock who, following his retirement in the 1930s, makes a surprise comeback in order to lift his family out of poverty.",2005-06-02,7.9837,7.565,2327,"[10749, 18, 36]",Romance|Drama|History
921,Cinderella Man,"The true story of boxer Jim Braddock who, following his retirement in the 1930s, makes a surprise comeback in order to lift his family out of poverty.",2005-06-02,7.9837,7.565,2327,"[10749, 18, 36]",Romance|Drama|History
